;SOC_MWh
224;488.92396097133656
225;488.8750685752394
226;488.8261810683819
227;488.77729845027505
228;488.72842072043005
229;488.679547878358
230;488.63067992357014
231;488.5818168555778
232;488.53295867389227
233;488.4841053780249
234;488.4352569674871
235;488.38641344179035
236;488.3375748004462
237;488.28874104296614
238;488.23991216886185
239;488.191088177645
240;488.1422690688272
241;488.09345484192033
242;488.04464549643615
243;487.9958410318865
244;487.94704144778336
245;487.8982467436386
246;487.8494569189642
247;487.80067197327236
248;487.75189190607506
249;487.70311671688444
250;487.6543464052128
251;487.60558097057225
252;487.5568204124752
253;487.50806473043394
254;487.4593139239609
255;487.41056799256853
256;487.3618269357693
257;487.3130907530757
258;487.2643594440004
259;487.215633008056
260;487.1669114447552
261;487.11819475361074
262;487.0694829341354
263;487.020775985842
264;486.97207390824343
265;486.9233767008526
266;486.8746843631825
267;486.8259968947462
268;486.7773142950567
269;486.7286365636272
270;486.67996369997087
271;486.63129570360087
272;486.5826325740305
273;486.53397431077315
274;486.4853209133421
275;486.4366723812508
276;486.38802871401265
277;486.33938991114127
278;486.2907559721502
279;486.242126896553
280;486.1935026838633
281;486.1448833335949
282;486.0962688452616
283;486.0476592183771
284;485.99905445245525
285;485.95045454701
286;485.9018595015553
287;485.85326931560513
288;485.80468398867356
289;485.7561035202747
290;485.70752790992265
291;485.6589571571317
292;485.610391261416
293;485.56183022228987
294;485.5132740392676
295;485.4647227118637
296;485.4161762395925
297;485.3676346219686
298;485.3190978585064
299;485.27056594872056
300;485.2220388921257
301;485.1735166882365
302;485.12499933656767
303;485.076486836634
304;485.02797918795034
305;484.97947639003155
306;484.93097844239253
307;484.8824853445483
308;484.83399709601383
309;484.78551369630424
310;484.7370351449346
311;484.6885614414201
312;484.64009258527597
313;484.59162857601746
314;484.5431694131599
315;484.49471509621856
316;484.44626562470893
317;484.39782099814647
318;484.34938121604665
319;484.30094627792505
320;484.25251618329725
321;484.20409093167893
322;484.15567052258575
323;484.1072549555335
324;484.05884423003795
325;484.01043834561494
326;483.9620373017804
327;483.9136410980502
328;483.8652497339404
329;483.816863208967
330;483.7684815226461
331;483.7201046744938
332;483.67173266402637
333;483.62336549075997
334;483.5750031542109
335;483.52664565389546
336;483.4782929893301
337;483.4299451600312
338;483.3816021655152
339;483.33326400529864
340;483.2849306788981
341;483.23660218583024
342;483.1882785256117
343;483.13995969775914
344;483.0916457017894
345;483.0433365372192
346;482.9950322035655
347;482.94673270034514
348;482.8984380270751
349;482.8501481832724
350;482.8018631684541
351;482.75358298213723
352;482.705307623839
353;482.65703709307667
354;482.60877138936735
355;482.5605105122284
356;482.5122544611772
357;482.46400323573107
358;482.4157568354075
359;482.3675152597239
360;482.31927850819795
361;482.27104658034716
362;482.2228194756891
363;482.17459719374153
364;482.1263797340222
365;482.0781670960488
366;482.0299592793392
367;481.9817562834113
368;481.93355810778297
369;481.8853647519722
370;481.837176215497
371;481.7889924978754
372;481.74081359862566
373;481.69263951726583
374;481.6444702533141
375;481.5963058062888
376;481.54814617570815
377;481.49999136109057
378;481.45184136195445
379;481.40369617781823
380;481.35555580820045
381;481.30742025261964
382;481.2592895105944
383;481.21116358164335
384;481.1630424652852
385;481.1149261610386
386;481.0668146684225
387;481.0187079869557
388;480.970606116157
389;480.9225090555454
390;480.87441680463985
391;480.82632936295937
392;480.77824673002306
393;480.73016890535007
394;480.6820958884595
395;480.63402767887067
396;480.5859642761028
397;480.5379056796752
398;480.48985188910723
399;480.4418029039183
400;480.3937587236279
401;480.34571934775556
402;480.2976847758208
403;480.2496550073432
404;480.2016300418425
405;480.1536098788383
406;480.1055945178504
407;480.05758395839865
408;480.0095782000028
409;479.9615772421828
410;479.9135810844586
411;479.86558972635015
412;479.8176031673775
413;479.76962140706075
414;479.72164444492006
415;479.67367228047556
416;479.6257049132475
417;479.57774234275615
418;479.5297845685219
