;plant_to_j1_m_dot;plant_to_j1_velocity;plant_to_j1_delta_p;j1_to_north_m_dot;j1_to_north_velocity;j1_to_north_delta_p;j1_to_south_m_dot;j1_to_south_velocity;j1_to_south_delta_p;plant_to_industrial_m_dot;plant_to_industrial_velocity;plant_to_industrial_delta_p
54;301.44767590772983;1.7375061187606649;1.5478801516093594;129.1918611033128;1.519684651977258;1.7321633571169366;172.25581480441707;2.026246202636344;4.635734620162939;129.1918611033128;1.519684651977258;1.8476409142580648
55;313.5358998544024;1.8071811063320458;2.3070397102111215;134.3725285090296;1.5806248743428974;6.005413656317999;179.1633713453728;2.1074998324571967;5.0136010445577845;134.3725285090296;1.5806248743428974;1.92173237002176
56;296.52526836464773;1.7091339868495974;1.511660408744167;127.0822578705633;1.494869376253292;5.6795948945793775;169.44301049408443;1.9931591683377234;3.5506169466601385;127.0822578705633;1.494869376253292;1.817470366265401
57;314.9774702174899;1.8154901348191497;2.3176469806201907;134.99034437892422;1.587892246197507;6.033025251510284;179.98712583856565;2.1171896615966763;5.058663167911595;134.99034437892422;1.587892246197507;1.9305680804832912
58;334.16591915430183;1.9260899174741082;2.4588381925201386;143.21396535184363;1.6846267499773542;6.400557560704232;190.9519538024582;2.246168999969806;5.658475896516121;143.21396535184363;1.6846267499773542;2.048178419425355
59;351.30529325014675;2.0248790929871876;2.584952033600665;150.55941139292003;1.7710312766651788;4.678227139056055;200.7458818572267;2.3613750355535714;3.8528001811533867;150.55941139292003;1.7710312766651788;2.1532295157023453
60;325.29050668236425;1.8749331672020095;2.3935317028110754;139.41021714958467;1.6398832366198335;4.235878558585993;185.88028953277956;2.186510982159778;5.381038913995322;139.41021714958467;1.6398832366198335;1.9937790110879436
61;329.3021907905267;1.898056004900054;2.423050219021345;141.12951033879716;1.6601072929154994;4.312717678250378;188.17268045172955;2.2134763905539994;5.506440357287595;141.12951033879716;1.6601072929154994;2.0183675293805465
62;307.61172920803585;1.7730349391219364;2.2634488584535357;131.83359823201536;1.5507594219725394;3.8972622415370033;175.7781309760205;2.0676792292967194;4.82841708457137;131.83359823201536;1.5507594219725394;1.885421789632267
63;299.2670908936252;1.7249375036831869;1.531835111084919;128.25732466869653;1.5086916941835455;1.7196333900268372;171.0097662249287;2.011588925578061;4.5675715991928065;128.25732466869653;1.5086916941835455;1.834275616028627
64;324.1463945455313;1.868338650152543;2.385113170407501;138.91988337665626;1.634115437451204;4.2139644280060935;185.22651116887502;2.178820583268272;4.524129255141169;138.91988337665626;1.634115437451204;1.9867664893023758
65;320.1525622831448;1.8453187082262885;2.355726010501645;137.2082409784906;1.6139813774573952;1.839644427193078;182.94432130465415;2.151975169943194;5.220431641377164;137.2082409784906;1.6139813774573952;1.9622873890059518
66;285.63769534285234;1.646379398721297;1.4315481685803788;122.4161551469367;1.4399819813888892;1.6413168480876397;163.22154019591562;1.919975975185186;3.4905577911854113;122.4161551469367;1.4399819813888892;2.9762545511989202
67;287.4470846454347;1.656808488861037;3.5956269332728894;123.19160770518629;1.4491036345723356;5.505712897311305;164.2554769402484;1.9321381794297812;1.585645314425658;123.19160770518629;1.4491036345723356;1.7618281271396181
68;267.1002869690353;1.5395321311864458;1.2951474015146118;114.47155155815798;1.3465295608044716;3.121312920989634;152.62873541087734;1.7953727477392958;3.3882998233726758;114.47155155815798;1.3465295608044716;1.6371180070571085
69;255.0750148757152;1.470219990102628;1.8768765831097376;109.31786351816365;1.285906696882765;1.4656991225867386;145.75715135755155;1.7145422625103537;4.690237192277563;109.31786351816365;1.285906696882765;1.5634123974258542
70;267.09741525929786;1.5395155790162387;1.2951262710845601;114.47032082541337;1.3465150836876725;3.1212579167464765;152.6270944338845;1.7953534449168969;3.3882839821506447;114.47032082541337;1.3465150836876725;1.6371004056992982
71;281.1518940093881;1.6205238095515713;1.398541033470091;120.49366886116633;1.4173677634561848;3.39045502832897;160.6582251482218;1.8898236846082466;3.4658127502864033;120.49366886116633;1.4173677634561848;1.723243481405696
72;262.35277067474976;1.5121680502214891;1.260214532197646;112.43690171774988;1.3225959622928476;3.0303797959454695;149.91586895699987;1.7634612830571306;3.362111083359957;112.43690171774988;1.3225959622928476;1.608019407042976
73;281.46970444116107;1.6223556285169975;1.40087952576638;120.62987333192618;1.4189699374784237;1.6173669500134;160.83983110923492;1.8919599166378986;3.4675658890341428;120.62987333192618;1.4189699374784237;1.7251914133476278
74;231.48895002281716;1.334272907823778;1.7033271163707804;99.2095500097788;1.1670025432861035;4.433900240448722;132.27940001303838;1.5560033910481381;4.256544230830773;99.2095500097788;1.1670025432861035;1.4188480769435912
75;272.5979754464313;1.5712201093397071;1.3356001395826045;116.82770376275626;1.3742449935915806;3.2266147172932396;155.77027168367502;1.8323266581221076;3.7339203250055473;116.82770376275626;1.3742449935915806;1.6708145818742621
76;263.82043798660027;1.5206274982068366;1.271013827498089;113.06590199425725;1.3299948963908192;3.058491247685483;150.754535992343;1.7733265285210922;3.370207181461079;113.06590199425725;1.3299948963908192;1.6170150715997802
77;270.38784660536743;1.558481207395831;1.319337711569146;115.88050568801461;1.3631030968476658;3.184282282855873;154.50734091735282;1.8174707957968879;3.406434999590151;115.88050568801461;1.3631030968476658;1.657268202854305
78;287.98510429816776;1.6599095658085445;1.4488207223087803;123.4221875563576;1.4518159467713219;1.6548054104536338;164.56291674181017;1.9357545956950963;3.5035068110567664;123.4221875563576;1.4518159467713219;1.7651257711505435
79;268.08916874663197;1.545231920160208;1.3024237278640953;114.89535803427084;1.3515147989739429;1.5404803939672607;153.19381071236114;1.8020197319652576;3.3937547952298477;114.89535803427084;1.3515147989739429;1.643179086898411
80;306.88556327075355;1.7688494108856871;2.2581056309178984;131.52238425889436;1.5470986101040995;1.763410269875493;175.3631790118592;2.0627981468054664;4.805717825569493;131.52238425889436;1.5470986101040995;1.8809709545338598
81;326.77937050818747;1.8835147892018458;2.404486964938526;140.04830164636604;1.6473890284564248;6.25907685583748;186.73106886182143;2.196518704608567;5.42757938617358;140.04830164636604;1.6473890284564248;2.002904593867994
