comparison,config,gap_cost_pct,gap_cost_eur,gap_cost_eur_per_mwh,gap_co2_t
L1cp->L2,synth_n05_L1p0km_hi0p4_s2h,2.8576,5500.13,0.5631,18.71
L1cp->L2,synth_n05_L1p0km_hi0p4_s6h,3.3817,4267.9,0.437,15.75
L1cp->L2,synth_n05_L5p0km_hi0p1_s12h,20.1558,22629.96,2.3167,74.89
L1cp->L2,synth_n05_L5p0km_hi0p1_s2h,14.9456,32854.43,3.3635,98.15
L1cp->L2,synth_n05_L5p0km_hi0p1_s6h,16.2626,23681.23,2.4241,81.53
L1cp->L2,synth_n05_L5p0km_hi0p4_s12h,20.1154,22573.18,2.3109,74.47
L1cp->L2,synth_n05_L5p0km_hi0p8_s2h,14.7315,32302.5,3.3066,99.94
L1cp->L2,synth_n15_L15p0km_hi0p1_s2h,34.625,99027.1,10.1369,292.26
L1cp->L2,synth_n15_L15p0km_hi0p1_s6h,38.4403,76141.79,7.7942,244.13
L1cp->L2,synth_n15_L15p0km_hi0p4_s2h,34.6685,99217.69,10.1564,292.97
L1cp->L2,synth_n15_L15p0km_hi0p8_s12h,44.1699,70922.73,7.2607,223.78
L1cp->L2,synth_n15_L1p0km_hi0p1_s6h,3.2857,4142.62,2.4565,15.83
L1cp->L2,synth_n15_L1p0km_hi0p8_s2h,3.0264,5835.2,0.5973,19.46
L1cp->L2,synth_n15_L1p0km_hi0p8_s6h,3.2011,4032.41,0.4129,15.4
L1cp->L2,synth_n15_L5p0km_hi0p1_s12h,19.8717,22231.81,2.2758,73.19
L1cp->L2,synth_n15_L5p0km_hi0p1_s6h,15.9664,23167.93,2.3721,79.72
L1cp->L2,synth_n15_L5p0km_hi0p4_s2h,14.4039,31463.06,3.221,96.61
L1cp->L2,synth_n15_L5p0km_hi0p8_s2h,14.1796,30892.17,3.1626,94.93
L1cp->L2,synth_n30_L15p0km_hi0p1_s12h,44.129,70805.14,7.2501,223.71
L1cp->L2,synth_n30_L15p0km_hi0p1_s2h,34.676,99250.58,10.1598,293.12
L1cp->L2,synth_n30_L15p0km_hi0p1_s6h,38.4279,76101.98,7.7909,244.19
L1cp->L2,synth_n30_L15p0km_hi0p4_s12h,44.1569,70885.29,7.2562,223.79
L1cp->L2,synth_n30_L15p0km_hi0p4_s2h,34.7638,99635.63,10.2002,294.33
L1cp->L2,synth_n30_L15p0km_hi0p8_s6h,38.1957,75357.94,7.7132,241.93
L1cp->L2,synth_n30_L5p0km_hi0p1_s2h,14.482,31662.74,3.2418,97.87
L1cp->L2,synth_n30_L5p0km_hi0p1_s6h,15.9816,23194.22,2.3747,79.65
L1cp->L2,synth_n30_L5p0km_hi0p4_s2h,14.4518,31585.47,3.2332,97.61
L1cp->L2,synth_n30_L5p0km_hi0p8_s2h,14.508,31729.09,3.2489,98.03
L1cp->L2,synth_n30_L5p0km_hi0p8_s6h,15.9743,23181.63,2.3735,79.61
L3->L3plus,synth_n05_L15p0km_hi0p1_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L15p0km_hi0p1_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L15p0km_hi0p4_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L15p0km_hi0p4_s6h,0.0,0.0,0.0,0.0
