Run dir,Kind,Status,MIP gap
SB-S6-HK0__hp_j_ost__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_ost__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_pss__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_pss__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_pss__tes_j_ost,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_pss__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_pss__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_psw__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_psw__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_psw__tes_j_ost,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK0__hp_j_psw__tes_j_pss,F3 enumeration sub-pair,optimal,—
SB-S6-HK0__hp_j_psw__tes_j_psw,F3 enumeration sub-pair,optimal,—
SB-S6-HK1__hp_j_hkw__tes_j_hkw,F3 enumeration sub-pair,optimal,—
SB-S6-HK1__hp_j_hkw__tes_j_man,F3 enumeration sub-pair,optimal,—
SB-S6-HK1__hp_j_hkw__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK1__hp_j_hkw__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_hkw__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_man__tes_j_hkw,F3 enumeration sub-pair,optimal,—
SB-S6-HK1__hp_j_man__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_man__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK1__hp_j_man__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_man__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_ost__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_ost__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_ost__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK1__hp_j_ost__tes_j_pss,F3 enumeration sub-pair,optimal,—
SB-S6-HK1__hp_j_ost__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_pss__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_pss__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_pss__tes_j_ost,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_pss__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_pss__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
